File Path: C:\Users\Administrator\Desktop\ASEN 3112\Lab 1 (Torsion)\Data\Test Run 122 01-30-20 8 52 44 AM\DAQ- Time, … - (Timed).txt   
Test: ASEN3112_20in-lb-return
Test Run: Test Run 122
Date: 1/30/2020 8:38:48 AM


Time 	Torsional Angle 	Torsional Epsilon 3550 Torsion 	Torsional Torque 	Axial Epsilon 3550 Axial 
sec	°	°	in·lbf	in
490.234375	47.0011373898891	-0.0878697833511457	18.8372169840181	0.0174300216677357
490.244140625	47.0058331449428	-0.0884322601013934	18.5645139133526	0.0174323224744899
490.25390625	47.0053482015118	-0.0882927081308891	18.3037122704956	0.0174318607089909
490.263671875	47.0048359373242	-0.0881670499924545	18.6200729014326	0.0174305258285782
490.2734375	47.0036133334629	-0.0876110499157256	18.6873750536534	0.0174331188194571
490.283203125	47.0001948237837	-0.0876617493960718	18.6696642941504	0.0174311686336525
490.29296875	47.0033298806124	-0.088039557574702	18.8504625979107	0.0174314791508987
490.302734375	47.004064125948	-0.0884291251512865	18.5217384092556	0.0174304387462509
490.3125	47.0044022203119	-0.0883652788908111	18.6353105273555	0.0174329137176598
490.322265625	47.0033401258961	-0.0879311816824951	18.6005115121089	0.017434728696693
490.33203125	47.0018306540897	-0.0878490726701202	18.5288602743006	0.0174317644601028
490.341796875	47.0025205031958	-0.087918375077803	18.9283346529495	0.0174327865316291
490.3515625	47.0012808238616	-0.0878992585522574	18.7235456873531	0.0174309073866704
490.361328125	47.005051088283	-0.0882353452140391	18.4756309274087	0.0174315685248662
490.37109375	47.0034869749633	-0.0878743457040673	18.6280894837454	0.0174318183136473
490.380859375	47.0019057861706	-0.0876469284191833	18.3453546067321	0.0174328002814702
490.390625	47.0022302201561	-0.0879668934332875	18.8615748175632	0.0174310517600026
490.400390625	46.9998703897982	-0.0881688642614526	18.5979476406927	0.0174303184351407
490.41015625	47.0038626353676	-0.0885490403279295	18.4308212076366	0.0174324588270814
490.419921875	47.0037840881921	-0.0883851491384036	18.7630694006251	0.0174310460309021
490.4296875	47.0040504655697	-0.0883284265517882	18.3087534958563	0.0174299414603289
490.439453125	47.0022131446832	-0.0880057001135472	18.5841322775965	0.0174341420368035
490.44921875	46.9990849180438	-0.0877825316865742	18.8054671821019	0.017431091863706
490.458984375	47.0029952013431	-0.0881627144231577	18.4663503459367	0.0174326799703601
490.46875	47.0017862578601	-0.0885340259179493	19.0086313073769	0.0174304433295313
490.478515625	47.0054745600115	-0.0883973554335008	18.4184217768205	0.0174313668605292
490.48828125	47.0041529184072	-0.0882838168787774	18.7634977676189	0.0174309303030724
490.498046875	46.9999830879195	-0.0879678939492791	18.7290511528057	0.0174320417485662
490.5078125	47.0009256540248	-0.0879331026731989	18.6220670236452	0.0174326410124768
490.517578125	47.0005363332422	-0.0883493640164385	18.9554884779566	0.0174322044550199
490.52734375	47.0036816353546	-0.0885620670461397	18.4712776214567	0.0174316292533314
490.537109375	47.004689088257	-0.0882861647563043	18.4102089475597	0.0174320451860265
490.546875	47.0041119372722	-0.088219336958174	18.917446112614	0.0174303722886853
490.556640625	47.0021141069403	-0.0879308348369513	18.6136284048852	0.0174317037316377
490.56640625	46.9970256160093	-0.0880494760232318	18.7498364478259	0.0174316773777754
490.576171875	47.0028688428434	-0.0880799717506548	18.7585451699121	0.0174320211238044
490.5859375	47.0016325786038	-0.0883450484574615	18.565324223331	0.0174308649913269
490.595703125	47.0037772580029	-0.0885285631006354	18.4551262866257	0.0174323889320555
490.60546875	47.0009939559165	-0.088113975954155	18.363261613183	0.0174335072524699
490.615234375	47.0004133898371	-0.0878541019305045	18.5632942280204	0.0174307802006397
490.625	46.9999694275412	-0.0880653575470713	18.9547182614407	0.017432146018195
490.634765625	46.9997781822444	-0.0882451836212896	18.5346885976352	0.0174313622772488
